"FIPS","Year","Group","Value","MOE"
"0900722490","2009-2013","Total Living with One Parent, Not in Work Force",107,77.4080099214545
"0900722490","2009-2013","Total Living with Two Parents",2270,297.934556572412
"0900722490","2009-2013","Total Living with Two Parents, Neither in Work Force",27,45.18849411078
"0900726270","2009-2013","Total Children",1324,187
"0900726270","2009-2013","Total Living with One Parent",216,120.220630509077
"0900726270","2009-2013","Total Living with One Parent, Not in Work Force",15,38.6264158316559
"0900726270","2009-2013","Total Living with Two Parents",1108,218.833269865439
"0900726270","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900735230","2009-2013","Total Children",1913,228
"0900735230","2009-2013","Total Living with One Parent",473,211.539594402561
"0900735230","2009-2013","Total Living with One Parent, Not in Work Force",118,137.905764926634
"0900735230","2009-2013","Total Living with Two Parents",1440,243.821656134151
"0900735230","2009-2013","Total Living with Two Parents, Neither in Work Force",29,49.9799959983992
"0900740710","2009-2013","Total Children",1425,126
"0900740710","2009-2013","Total Living with One Parent",96,80.3243425120928
"0900740710","2009-2013","Total Living with One Parent, Not in Work Force",0,34
"0900740710","2009-2013","Total Living with Two Parents",1329,169.499262535269
"0900740710","2009-2013","Total Living with Two Parents, Neither in Work Force",35,60.4400529450463
"0900747080","2009-2013","Total Children",1031,91
"0900747080","2009-2013","Total Living with One Parent",231,104.484448603608
"0900747080","2009-2013","Total Living with One Parent, Not in Work Force",9,25.0599281722833
"0900747080","2009-2013","Total Living with Two Parents",800,142.003521083106
"0900747080","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900747360","2009-2013","Total Children",8335,372
"0900747360","2009-2013","Total Living with One Parent",3418,424.117908134047
"0900747360","2009-2013","Total Living with One Parent, Not in Work Force",574,195.207581819969
"0900747360","2009-2013","Total Living with Two Parents",4917,460.323799080604
"0900747360","2009-2013","Total Living with Two Parents, Neither in Work Force",60,75.2728370662353
"0900757320","2009-2013","Total Children",2265,240
"0900757320","2009-2013","Total Living with One Parent",534,263.096940309081
"0900757320","2009-2013","Total Living with One Parent, Not in Work Force",88,125.944432191344
"0900757320","2009-2013","Total Living with Two Parents",1731,256.602805908275
"0900757320","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900761800","2009-2013","Total Children",1942,159
"0900761800","2009-2013","Total Living with One Parent",258,118.532695911297
"0900761800","2009-2013","Total Living with One Parent, Not in Work Force",33,42.0713679359253
"0900761800","2009-2013","Total Living with Two Parents",1684,210.375854127797
"0900761800","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900781680","2009-2013","Total Children",1116,159
"0900781680","2009-2013","Total Living with One Parent",223,127.14165328483
"0900781680","2009-2013","Total Living with One Parent, Not in Work Force",29,54.6168472176855
"0900781680","2009-2013","Total Living with Two Parents",893,157.892368403289
"0900781680","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900900000","2009-2013","Total Children",0,12
"0900900000","2009-2013","Total Living with One Parent",0,16.9705627484771
"0900900000","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0900900000","2009-2013","Total Living with Two Parents",0,16.9705627484771
"0900900000","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900901220","2009-2013","Total Children",4139,418
"0900901220","2009-2013","Total Living with One Parent",1681,480.234317807464
"0900901220","2009-2013","Total Living with One Parent, Not in Work Force",419,196.499363866655
"0900901220","2009-2013","Total Living with Two Parents",2458,519.711458407451
"0900901220","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900903250","2009-2013","Total Children",1260,183
"0900903250","2009-2013","Total Living with One Parent",280,127.224211532239
"0900903250","2009-2013","Total Living with One Parent, Not in Work Force",33,44.5308881564246
"0900903250","2009-2013","Total Living with Two Parents",980,231.918088988332
"0900903250","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900904580","2009-2013","Total Children",1384,127
"0900904580","2009-2013","Total Living with One Parent",222,122.69066794178
"0900904580","2009-2013","Total Living with One Parent, Not in Work Force",48,68.3227634101549
"0900904580","2009-2013","Total Living with Two Parents",1162,181.617730411984
"0900904580","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900907310","2009-2013","Total Children",4880,354
"0900907310","2009-2013","Total Living with One Parent",1435,363.401981282436
"0900907310","2009-2013","Total Living with One Parent, Not in Work Force",95,125.904725884297
"0900907310","2009-2013","Total Living with Two Parents",3445,325.640906521278
"0900907310","2009-2013","Total Living with Two Parents, Neither in Work Force",43,42.3792402008342
"0900914160","2009-2013","Total Children",6180,309
"0900914160","2009-2013","Total Living with One Parent",798,219.572311551343
"0900914160","2009-2013","Total Living with One Parent, Not in Work Force",81,85.2760224213114
"0900914160","2009-2013","Total Living with Two Parents",5382,382.15834414546
"0900914160","2009-2013","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900919550","2009-2013","Total Children",2613,361
"0900919550","2009-2013","Total Living with One Parent",1025,330.407324374022
"0900919550","2009-2013","Total Living with One Parent, Not in Work Force",17,43.2087954009366
"0900919550","2009-2013","Total Living with Two Parents",1588,350.218503223345
"0900919550","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900922910","2009-2013","Total Children",5403,404
"0900922910","2009-2013","Total Living with One Parent",1787,397.005037751412
"0900922910","2009-2013","Total Living with One Parent, Not in Work Force",301,185.315946426636
"0900922910","2009-2013","Total Living with Two Parents",3616,401.907949660118
"0900922910","2009-2013","Total Living with Two Parents, Neither in Work Force",172,112.25862995779
"0900934950","2009-2013","Total Children",4844,331
"0900934950","2009-2013","Total Living with One Parent",876,268.018656067073
"0900934950","2009-2013","Total Living with One Parent, Not in Work Force",228,192.686273512152
"0900934950","2009-2013","Total Living with Two Parents",3968,365.656943049083
"0900934950","2009-2013","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900935650","2009-2013","Total Children",11567,557
"0900935650","2009-2013","Total Living with One Parent",3579,514.812587258703
"0900935650","2009-2013","Total Living with One Parent, Not in Work Force",187,137.978259157014
"0900935650","2009-2013","Total Living with Two Parents",7988,594.871414677155
"0900935650","2009-2013","Total Living with Two Parents, Neither in Work Force",79,86.7006343690748
"0900944560","2009-2013","Total Children",4771,355
"0900944560","2009-2013","Total Living with One Parent",398,182.455474020376
"0900944560","2009-2013","Total Living with One Parent, Not in Work Force",9,37.0405183549043
"0900944560","2009-2013","Total Living with Two Parents",4373,390.959077142353
"0900944560","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900946520","2009-2013","Total Children",12641,606
"0900946520","2009-2013","Total Living with One Parent",5778,607.751593992151
"0900946520","2009-2013","Total Living with One Parent, Not in Work Force",943,268.87543584344
"0900946520","2009-2013","Total Living with Two Parents",6863,602.465766662306
"0900946520","2009-2013","Total Living with Two Parents, Neither in Work Force",210,143.753260832581
"0900946940","2009-2013","Total Children",1639,160
"0900946940","2009-2013","Total Living with One Parent",212,97.4935895328508
"0900946940","2009-2013","Total Living with One Parent, Not in Work Force",0,34
"0900946940","2009-2013","Total Living with Two Parents",1427,197.26631744928
"0900946940","2009-2013","Total Living with Two Parents, Neither in Work Force",32,38.4837628097877
"0900947535","2009-2013","Total Children",10493,497
"0900947535","2009-2013","Total Living with One Parent",2162,320.831731597733
"0900947535","2009-2013","Total Living with One Parent, Not in Work Force",252,120.179033113102
"0900947535","2009-2013","Total Living with Two Parents",8331,538.858051809565
"0900947535","2009-2013","Total Living with Two Parents, Neither in Work Force",37,41.7731971484108
"0900949950","2009-2013","Total Children",6919,501
"0900949950","2009-2013","Total Living with One Parent",2390,474.269965315115
"0900949950","2009-2013","Total Living with One Parent, Not in Work Force",242,140.893576858564
"0900949950","2009-2013","Total Living with Two Parents",4529,520.074033191429
"0900949950","2009-2013","Total Living with Two Parents, Neither in Work Force",117,97.2676719162127
"0900952070","2009-2013","Total Children",27221,1091
"0900952070","2009-2013","Total Living with One Parent",16494,1059.14541022468
"0900952070","2009-2013","Total Living with One Parent, Not in Work Force",3341,539.433962594125
"0900952070","2009-2013","Total Living with Two Parents",10727,922.259182659625
"0900952070","2009-2013","Total Living with Two Parents, Neither in Work Force",129,74.2495791233863
"0900953890","2009-2013","Total Children",3015,228
"0900953890","2009-2013","Total Living with One Parent",656,252.483662837816
"0900953890","2009-2013","Total Living with One Parent, Not in Work Force",38,62.3858958419289
"0900953890","2009-2013","Total Living with Two Parents",2359,310.357857963996
"0900953890","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900954870","2009-2013","Total Children",4618,296
"0900954870","2009-2013","Total Living with One Parent",704,175.071414000116
"0900954870","2009-2013","Total Living with One Parent, Not in Work Force",77,71.1407056473296
"0900954870","2009-2013","Total Living with Two Parents",3914,333.767883416005
"0900954870","2009-2013","Total Living with Two Parents, Neither in Work Force",15,32.5576411921994
"0900957600","2009-2013","Total Children",3240,195
"0900957600","2009-2013","Total Living with One Parent",414,182.148291235466
"0900957600","2009-2013","Total Living with One Parent, Not in Work Force",0,38
"0900957600","2009-2013","Total Living with Two Parents",2826,267.606053743184
"0900957600","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900958300","2009-2013","Total Children",3033,156
"0900958300","2009-2013","Total Living with One Parent",596,224.189651857529
"0900958300","2009-2013","Total Living with One Parent, Not in Work Force",40,47.0319040652194
"0900958300","2009-2013","Total Living with Two Parents",2437,295.221950403421
"0900958300","2009-2013","Total Living with Two Parents, Neither in Work Force",12,26.1725046566048
"0900962290","2009-2013","Total Children",1881,272
"0900962290","2009-2013","Total Living with One Parent",203,95.7548954362125
"0900962290","2009-2013","Total Living with One Parent, Not in Work Force",24,36.7967389859482
"0900962290","2009-2013","Total Living with Two Parents",1678,319.037615337126
"0900962290","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900967610","2009-2013","Total Children",3605,299
"0900967610","2009-2013","Total Living with One Parent",860,261.323554238802
"0900967610","2009-2013","Total Living with One Parent, Not in Work Force",97,118.65496196957
"0900967610","2009-2013","Total Living with Two Parents",2745,342.811901777053
"0900967610","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900969640","2009-2013","Total Children",4115,329
"0900969640","2009-2013","Total Living with One Parent",662,211.596313767513
"0900969640","2009-2013","Total Living with One Parent, Not in Work Force",61,56.302753041037
"0900969640","2009-2013","Total Living with Two Parents",3453,405.93718725931
"0900969640","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900978740","2009-2013","Total Children",9198,391
"0900978740","2009-2013","Total Living with One Parent",1961,403.207142793875
"0900978740","2009-2013","Total Living with One Parent, Not in Work Force",261,145.12753012437
"0900978740","2009-2013","Total Living with Two Parents",7237,512.305572876189
"0900978740","2009-2013","Total Living with Two Parents, Neither in Work Force",65,53.851648071345
"0900980070","2009-2013","Total Children",26130,1006
"0900980070","2009-2013","Total Living with One Parent",14896,1028.65057235195
"0900980070","2009-2013","Total Living with One Parent, Not in Work Force",4569,734.43992266216
"0900980070","2009-2013","Total Living with Two Parents",11234,785.315223333917
"0900980070","2009-2013","Total Living with Two Parents, Neither in Work Force",482,286.400069832394
"0900982870","2009-2013","Total Children",11569,710
"0900982870","2009-2013","Total Living with One Parent",4474,606.258195820889
"0900982870","2009-2013","Total Living with One Parent, Not in Work Force",139,97.7803661273571
"0900982870","2009-2013","Total Living with Two Parents",7095,756.339870693063
"0900982870","2009-2013","Total Living with Two Parents, Neither in Work Force",99,106.737996983267
"0900987560","2009-2013","Total Children",3477,212
"0900987560","2009-2013","Total Living with One Parent",721,220.118150092172
"0900987560","2009-2013","Total Living with One Parent, Not in Work Force",44,47.1487009365051
"0900987560","2009-2013","Total Living with Two Parents",2756,284.861369792396
"0900987560","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900987700","2009-2013","Total Children",2089,174
"0900987700","2009-2013","Total Living with One Parent",217,106.901824119142
"0900987700","2009-2013","Total Living with One Parent, Not in Work Force",0,34
"0900987700","2009-2013","Total Living with Two Parents",1872,262.131646315358
"0900987700","2009-2013","Total Living with Two Parents, Neither in Work Force",11,24.7588368062799
"0901100000","2009-2013","Total Children",0,12
"0901100000","2009-2013","Total Living with One Parent",0,16.9705627484771
"0901100000","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901100000","2009-2013","Total Living with Two Parents",0,16.9705627484771
"0901100000","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901106820","2009-2013","Total Children",554,56
"0901106820","2009-2013","Total Living with One Parent",149,63.8122245341753
"0901106820","2009-2013","Total Living with One Parent, Not in Work Force",9,24.5153013442625
"0901106820","2009-2013","Total Living with Two Parents",405,85.2349693494401
"0901106820","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901115910","2009-2013","Total Children",4073,257
"0901115910","2009-2013","Total Living with One Parent",1172,294.3891981714
"0901115910","2009-2013","Total Living with One Parent, Not in Work Force",138,99.4233373006559
"0901115910","2009-2013","Total Living with Two Parents",2901,329.341767773236
"0901115910","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901123400","2009-2013","Total Children",3592,249
"0901123400","2009-2013","Total Living with One Parent",907,185.607111932706
"0901123400","2009-2013","Total Living with One Parent, Not in Work Force",25,39.585350825779
"0901123400","2009-2013","Total Living with Two Parents",2685,262.727996224232
"0901123400","2009-2013","Total Living with Two Parents, Neither in Work Force",17,22.4722050542442
"0901129910","2009-2013","Total Children",389,42
"0901129910","2009-2013","Total Living with One Parent",77,32.2800247831379
"0901129910","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901129910","2009-2013","Total Living with Two Parents",312,48.8364617882991
"0901129910","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901133900","2009-2013","Total Children",2596,275
"0901133900","2009-2013","Total Living with One Parent",880,253.26863208854
"0901133900","2009-2013","Total Living with One Parent, Not in Work Force",226,151.009933448101
"0901133900","2009-2013","Total Living with Two Parents",1716,381.65953414005
"0901133900","2009-2013","Total Living with Two Parents, Neither in Work Force",22,40.7062648740952
"0901134250","2009-2013","Total Children",8142,413
"0901134250","2009-2013","Total Living with One Parent",2795,470.923560676252
"0901134250","2009-2013","Total Living with One Parent, Not in Work Force",457,182.863336948662
"0901134250","2009-2013","Total Living with Two Parents",5347,420.800427756437
"0901134250","2009-2013","Total Living with Two Parents, Neither in Work Force",28,47.169905660283
"0901142390","2009-2013","Total Children",1525,132
"0901142390","2009-2013","Total Living with One Parent",478,214.667184264386
"0901142390","2009-2013","Total Living with One Parent, Not in Work Force",79,123.559702168628
"0901142390","2009-2013","Total Living with Two Parents",1047,228.122773961742
"0901142390","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901142600","2009-2013","Total Children",3544,236
"0901142600","2009-2013","Total Living with One Parent",1038,263.250830957853
"0901142600","2009-2013","Total Living with One Parent, Not in Work Force",44,81.9023809177731
"0901142600","2009-2013","Total Living with Two Parents",2506,323.867256758074
"0901142600","2009-2013","Total Living with Two Parents, Neither in Work Force",14,17.464249196573
"0901143230","2009-2013","Total Children",914,115
"0901143230","2009-2013","Total Living with One Parent",141,74.9666592559653
"0901143230","2009-2013","Total Living with One Parent, Not in Work Force",14,29.5465734053883
"0901143230","2009-2013","Total Living with Two Parents",773,143.735868870648
"0901143230","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901144210","2009-2013","Total Children",473,101
"0901144210","2009-2013","Total Living with One Parent",142,83.2346081867392
"0901144210","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901144210","2009-2013","Total Living with Two Parents",331,81.835200250259
"0901144210","2009-2013","Total Living with Two Parents, Neither in Work Force",6,15.6204993518133
"0901148900","2009-2013","Total Children",3518,395
"0901148900","2009-2013","Total Living with One Parent",1270,326.964829912943
"0901148900","2009-2013","Total Living with One Parent, Not in Work Force",150,90.4433524367601
"0901148900","2009-2013","Total Living with Two Parents",2248,338.385874409674
"0901148900","2009-2013","Total Living with Two Parents, Neither in Work Force",28,42.485291572496
"0901152350","2009-2013","Total Children",5121,501
"0901152350","2009-2013","Total Living with One Parent",2962,514.747510921617
"0901152350","2009-2013","Total Living with One Parent, Not in Work Force",523,220.850628253578
"0901152350","2009-2013","Total Living with Two Parents",2159,368.262134898499
"0901152350","2009-2013","Total Living with Two Parents, Neither in Work Force",221,165.746794840805
"0901155500","2009-2013","Total Children",1085,134
"0901155500","2009-2013","Total Living with One Parent",185,109.658560997307
"0901155500","2009-2013","Total Living with One Parent, Not in Work Force",0,34
"0901155500","2009-2013","Total Living with Two Parents",900,218.588654783362
"0901155500","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901156270","2009-2013","Total Children",8776,563
"0901156270","2009-2013","Total Living with One Parent",4007,593.632883186233
"0901156270","2009-2013","Total Living with One Parent, Not in Work Force",782,329.262812962533
"0901156270","2009-2013","Total Living with Two Parents",4769,570.789803693093
"0901156270","2009-2013","Total Living with Two Parents, Neither in Work Force",150,119.6411300515
"0901157040","2009-2013","Total Children",1423,157
"0901157040","2009-2013","Total Living with One Parent",380,180.113852882003
"0901157040","2009-2013","Total Living with One Parent, Not in Work Force",61,49.7393204617835
"0901157040","2009-2013","Total Living with Two Parents",1043,162.114157308978
"0901157040","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901162150","2009-2013","Total Children",949,148
"0901162150","2009-2013","Total Living with One Parent",313,153.169840373358
"0901162150","2009-2013","Total Living with One Parent, Not in Work Force",78,87.4185335040574
"0901162150","2009-2013","Total Living with Two Parents",636,170.42593699317
"0901162150","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901166210","2009-2013","Total Children",1033,94
"0901166210","2009-2013","Total Living with One Parent",224,115.412304370028
"0901166210","2009-2013","Total Living with One Parent, Not in Work Force",42,41.9165838302694
"0901166210","2009-2013","Total Living with Two Parents",809,141.031911282518
"0901166210","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901171670","2009-2013","Total Children",603,125
"0901171670","2009-2013","Total Living with One Parent",236,125.936491931449
"0901171670","2009-2013","Total Living with One Parent, Not in Work Force",20,28.4604989415154
"0901171670","2009-2013","Total Living with Two Parents",367,110.317722964173
"0901171670","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901173770","2009-2013","Total Children",3484,212
"0901173770","2009-2013","Total Living with One Parent",786,200.084981945172
"0901173770","2009-2013","Total Living with One Parent, Not in Work Force",63,63.2613626157388
"0901173770","2009-2013","Total Living with Two Parents",2698,285.952793306867
"0901173770","2009-2013","Total Living with Two Parents, Neither in Work Force",14,26.1725046566048
"0901178600","2009-2013","Total Children",524,64
"0901178600","2009-2013","Total Living with One Parent",157,80.156097709407
"0901178600","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901178600","2009-2013","Total Living with Two Parents",367,65.6048778674269
"0901178600","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901180280","2009-2013","Total Children",3756,200
"0901180280","2009-2013","Total Living with One Parent",859,219.200821166345
"0901180280","2009-2013","Total Living with One Parent, Not in Work Force",79,49.5378643060033
"0901180280","2009-2013","Total Living with Two Parents",2897,280.128541923168
"0901180280","2009-2013","Total Living with Two Parents, Neither in Work Force",34,47.0106370941726
"0901301080","2009-2013","Total Children",754,111
"0901301080","2009-2013","Total Living with One Parent",142,93.4719209174606
"0901301080","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901301080","2009-2013","Total Living with Two Parents",612,89.6437393240599
"0901301080","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901306260","2009-2013","Total Children",901,104
"0901306260","2009-2013","Total Living with One Parent",142,63.2455532033676
"0901306260","2009-2013","Total Living with One Parent, Not in Work Force",15,31.7490157327751
"0901306260","2009-2013","Total Living with Two Parents",759,151.716841517348
"0901306260","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901316400","2009-2013","Total Children",1154,162
"0901316400","2009-2013","Total Living with One Parent",207,108.46197490365
"0901316400","2009-2013","Total Living with One Parent, Not in Work Force",0,34
"0901316400","2009-2013","Total Living with Two Parents",947,149.566038925954
"0901316400","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901317800","2009-2013","Total Children",2472,260
"0901317800","2009-2013","Total Living with One Parent",553,170.847885559055
"0901317800","2009-2013","Total Living with One Parent, Not in Work Force",0,38
"0901317800","2009-2013","Total Living with Two Parents",1919,304.647337096519
"0901317800","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901325360","2009-2013","Total Children",4067,297
"0901325360","2009-2013","Total Living with One Parent",729,242.720003295979
"0901325360","2009-2013","Total Living with One Parent, Not in Work Force",63,75.5446887610241
"0901325360","2009-2013","Total Living with Two Parents",3338,439.528156094692
"0901325360","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901337910","2009-2013","Total Children",2459,146
"0901337910","2009-2013","Total Living with One Parent",232,112.729765368336
"0901337910","2009-2013","Total Living with One Parent, Not in Work Force",12,35.5949434611154
"0901337910","2009-2013","Total Living with Two Parents",2227,230.794280691702
"0901337910","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901344910","2009-2013","Total Children",2624,286
"0901344910","2009-2013","Total Living with One Parent",751,244.81217289996
"0901344910","2009-2013","Total Living with One Parent, Not in Work Force",44,56.3737527578216
"0901344910","2009-2013","Total Living with Two Parents",1873,283.804510182626
"0901344910","2009-2013","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0901369220","2009-2013","Total Children",2202,169
"0901369220","2009-2013","Total Living with One Parent",454,177.628826489396
"0901369220","2009-2013","Total Living with One Parent, Not in Work Force",12,36.1662826400502
"0901369220","2009-2013","Total Living with Two Parents",1748,218.160491381918
"0901369220","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901372090","2009-2013","Total Children",2551,300
"0901372090","2009-2013","Total Living with One Parent",796,222.182357535426
"0901372090","2009-2013","Total Living with One Parent, Not in Work Force",111,83.5404093837228
"0901372090","2009-2013","Total Living with Two Parents",1755,302.332598308552
"0901372090","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901376290","2009-2013","Total Children",3946,231
"0901376290","2009-2013","Total Living with One Parent",617,263.518500299315
"0901376290","2009-2013","Total Living with One Parent, Not in Work Force",0,38
"0901376290","2009-2013","Total Living with Two Parents",3329,308.729655200144
"0901376290","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901377830","2009-2013","Total Children",190,69
"0901377830","2009-2013","Total Living with One Parent",11,15.52417469626
"0901377830","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901377830","2009-2013","Total Living with Two Parents",179,57.6888204074238
"0901377830","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901378250","2009-2013","Total Children",4980,332
"0901378250","2009-2013","Total Living with One Parent",1948,345.810641825841
"0901378250","2009-2013","Total Living with One Parent, Not in Work Force",179,105.54619841567
"0901378250","2009-2013","Total Living with Two Parents",3032,402.504658358136
"0901378250","2009-2013","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0901385950","2009-2013","Total Children",961,193
"0901385950","2009-2013","Total Living with One Parent",509,210.888596182914
"0901385950","2009-2013","Total Living with One Parent, Not in Work Force",53,61.5386057690617
"0901385950","2009-2013","Total Living with Two Parents",452,136.41847382228
"0901385950","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901501430","2009-2013","Total Children",890,97
"0901501430","2009-2013","Total Living with One Parent",198,89.044932477935
"0901501430","2009-2013","Total Living with One Parent, Not in Work Force",48,47.9478883789474
"0901501430","2009-2013","Total Living with Two Parents",692,137.411789887185
"0901501430","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901509190","2009-2013","Total Children",1835,222
"0901509190","2009-2013","Total Living with One Parent",492,221.894118894576
"0901509190","2009-2013","Total Living with One Parent, Not in Work Force",263,197.845899628979
"0901509190","2009-2013","Total Living with Two Parents",1343,279.331344463882
"0901509190","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901512130","2009-2013","Total Children",1170,169
"0901512130","2009-2013","Total Living with One Parent",344,115.316954521007
"0901512130","2009-2013","Total Living with One Parent, Not in Work Force",19,41.3279566395436
"0901512130","2009-2013","Total Living with Two Parents",826,195.274166238138
"0901512130","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901513810","2009-2013","Total Children",494,88
"0901513810","2009-2013","Total Living with One Parent",113,51.4295634824952
"0901513810","2009-2013","Total Living with One Parent, Not in Work Force",9,25.0599281722833
"0901513810","2009-2013","Total Living with Two Parents",381,93.7443331620637
"0901513810","2009-2013","Total Living with Two Parents, Neither in Work Force",17,22.4722050542442
"0901521860","2009-2013","Total Children",339,62
"0901521860","2009-2013","Total Living with One Parent",54,28.6356421265527
"0901521860","2009-2013","Total Living with One Parent, Not in Work Force",15,21.6564078277077
"0901521860","2009-2013","Total Living with Two Parents",285,51.6139516022558
"0901521860","2009-2013","Total Living with Two Parents, Neither in Work Force",20,17
"0901536000","2009-2013","Total Children",317,68
"0901536000","2009-2013","Total Living with One Parent",88,41.7851648315524
"0901536000","2009-2013","Total Living with One Parent, Not in Work Force",4,21.377558326432
"0901536000","2009-2013","Total Living with Two Parents",229,61.400325732035
"0901536000","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901540500","2009-2013","Total Children",3604,239
"0901540500","2009-2013","Total Living with One Parent",1227,270.248034220418
"0901540500","2009-2013","Total Living with One Parent, Not in Work Force",163,111.834699445208
"0901540500","2009-2013","Total Living with Two Parents",2377,324.693701817574
"0901540500","2009-2013","Total Living with Two Parents, Neither in Work Force",48,75.4320886625844
"0901559980","2009-2013","Total Children",3245,272
"0901559980","2009-2013","Total Living with One Parent",1122,322.342985033023
"0901559980","2009-2013","Total Living with One Parent, Not in Work Force",211,132.389576628978
"0901559980","2009-2013","Total Living with Two Parents",2123,347.841918117986
"0901559980","2009-2013","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901561030","2009-2013","Total Children",1028,165
"0901561030","2009-2013","Total Living with One Parent",147,110.022724925353
"0901561030","2009-2013","Total Living with One Parent, Not in Work Force",0,24
"0901561030","2009-2013","Total Living with Two Parents",881,226.013273946465
"0901561030","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901562710","2009-2013","Total Children",2225,271
"0901562710","2009-2013","Total Living with One Parent",857,257.769276679747
"0901562710","2009-2013","Total Living with One Parent, Not in Work Force",20,43.4856298103178
"0901562710","2009-2013","Total Living with Two Parents",1368,273.766323714222
"0901562710","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901567400","2009-2013","Total Children",391,63
"0901567400","2009-2013","Total Living with One Parent",94,43.4626276242015
"0901567400","2009-2013","Total Living with One Parent, Not in Work Force",8,23.0651251893416
"0901567400","2009-2013","Total Living with Two Parents",297,78.7464284904401
"0901567400","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901573420","2009-2013","Total Children",945,177
"0901573420","2009-2013","Total Living with One Parent",306,144.013888219158
"0901573420","2009-2013","Total Living with One Parent, Not in Work Force",9,25.6320112359526
"0901573420","2009-2013","Total Living with Two Parents",639,142.284925413763
"0901573420","2009-2013","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901575870","2009-2013","Total Children",1898,170
"0901575870","2009-2013","Total Living with One Parent",556,209.990475974507
